esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (℃),min_temperature (℃),available_energy (kw),available_capacity (Ah)
9600945,4/5/2015 19:23,18,325.7,-22.5,3.627,3.608,33,31,8.13,24.46
4047449,5/5/2015 16:48,18,325.7,-22.5,3.627,3.609,33,31,8.15,24.51
8906717,6/5/2015 20:42,18,325.7,-22.5,3.628,3.61,33,31,8.17,24.56
2151745,7/5/2015 19:13,18,325.8,-22.5,3.627,3.609,33,31,8.19,24.63
3904382,8/5/2015 18:34,18,325.7,-22.5,3.628,3.61,33,31,8.2,24.68
6412124,11/5/2015 18:06,18,325.8,-22.5,3.628,3.609,33,31,8.22,24.71
9579135,12/5/2015 20:10,18,325.8,-22.5,3.628,3.61,33,31,8.23,24.76
3526792,13/5/2015 18:49,18.4,325.8,-22.5,3.629,3.61,33,31,8.25,24.81
2103254,14/5/2015 18:05,18.4,325.8,-22.5,3.629,3.61,33,31,8.28,24.88
8767465,15/5/2015 19:15,18.4,325.8,-22.5,3.628,3.61,33,31,8.29,24.93
4927630,18/5/2015 20:23,18.4,325.8,-22.5,3.629,3.61,33,31,8.3,24.98
3661095,20/5/2015 20:36,18.4,325.8,-22.5,3.629,3.611,33,31,8.33,25.03
8681532,21/5/2015 19:10,18.4,325.8,-22.5,3.63,3.611,33,31,8.34,25.08
2847811,22/5/2015 20:18,18.4,326,-22.5,3.63,3.613,33,31,8.349999,25.13
1779780,26/5/2015 20:32,18.4,326,-22.5,3.63,3.612,33,31,8.37,25.17
9038095,27/5/2015 21:26,18.4,326,-22.5,3.631,3.613,33,31,8.389999,25.22
6839807,28/5/2015 15:17,18.4,326,-22.5,3.631,3.613,33,31,8.4,25.27
7513206,28/5/2015 18:01,18.8,326,-22.5,3.63,3.613,33,31,8.42,25.32
9651531,29/5/2015 14:10,18.8,326,-22.5,3.631,3.613,33,31,8.44,25.37
9066880,1/6/2015 20:14,18.8,326.1,-22.5,3.632,3.614,33,31,8.46,25.44
4023183,2/6/2015 20:34,18.8,326.1,-22.5,3.632,3.613,33,31,8.48,25.49
1667896,3/6/2015 17:26,18.8,326.1,-22.5,3.631,3.614,33,31,8.49,25.54
4907994,4/6/2015 15:09,18.8,326.1,-22.5,3.632,3.614,33,31,8.51,25.59
8544912,4/6/2015 17:17,18.8,326.1,-22.5,3.632,3.614,33,31,8.53,25.64
4339735,5/6/2015 15:53,18.8,326.1,-22.5,3.633,3.614,33,31,8.54,25.69
7670282,5/6/2015 19:22,18.8,326.1,-22.5,3.632,3.614,33,31,8.559999,25.74
2534249,9/6/2015 20:12,18.8,326.1,-22.5,3.633,3.615,33,31,8.58,25.79
2892603,10/6/2015 17:08,18.8,326.1,-22.5,3.633,3.615,33,31,8.59,25.84
2451809,10/6/2015 20:11,19.2,326.3,-22.5,3.633,3.615,33,31,8.61,25.89
1986587,11/6/2015 17:08,19.2,326.3,-22.5,3.633,3.615,33,31,8.63,25.94
5345683,12/6/2015 16:29,19.2,326.3,-22.5,3.634,3.616,33,31,8.639999,25.99
2211634,15/6/2015 20:49,19.2,326.3,-22.5,3.634,3.615,33,31,8.66,26.06
1119614,16/6/2015 15:28,19.2,326.3,-22.5,3.634,3.615,33,31,8.679999,26.11
8689860,17/6/2015 21:17,19.2,326.3,-22.5,3.634,3.617,33,31,8.7,26.16
5481838,18/6/2015 15:38,19.2,326.3,-22.5,3.634,3.617,33,31,8.71,26.21
5187868,19/6/2015 18:40,19.2,326.3,-22.5,3.635,3.616,33,31,8.73,26.26
7546366,22/6/2015 17:43,19.2,326.4,-22.5,3.634,3.617,33,31,8.75,26.31
5407577,23/6/2015 20:42,19.2,326.3,-22.5,3.635,3.618,33,31,8.76,26.36
1634517,24/6/2015 20:17,19.6,326.4,-22.5,3.634,3.617,33,31,8.78,26.41
7511668,25/6/2015 15:10,19.6,326.4,-22.5,3.635,3.618,33,31,8.8,26.46
2225529,13/7/2015 19:36,19.6,326.4,-22.5,3.635,3.618,33,31,8.809999,26.5
2719439,14/7/2015 16:30,19.6,326.4,-22.5,3.635,3.618,33,31,8.83,26.55
6475803,15/7/2015 18:34,19.6,326.4,-22.5,3.635,3.619,33,31,8.849999,26.6
7314718,16/7/2015 20:22,19.6,326.6,-22.5,3.635,3.619,33,31,8.86,26.65
8726154,17/7/2015 19:52,19.6,326.4,-22.5,3.636,3.619,33,31,8.88,26.7
9884932,20/7/2015 16:25,19.6,326.4,-22.5,3.635,3.619,33,31,8.9,26.75
2725835,21/7/2015 16:28,19.6,326.4,-22.5,3.636,3.619,33,31,8.91,26.8
9251926,21/7/2015 20:42,19.6,326.6,-22.5,3.635,3.619,33,31,8.94,26.87
7848461,22/7/2015 20:45,19.6,326.6,-22.5,3.636,3.62,33,31,8.95,26.92
2450078,23/7/2015 14:38,20,326.4,-22.5,3.636,3.62,33,31,8.97,26.97
8294063,23/7/2015 20:27,20,326.6,-22.5,3.636,3.621,33,31,8.99,27.02
8369555,24/7/2015 20:07,20,326.6,-22.5,3.636,3.621,33,31,9,27.07
7946065,27/7/2015 19:31,20,326.6,-22.5,3.636,3.62,33,31,9.02,27.12
2860677,28/7/2015 17:36,20,326.6,-22.5,3.637,3.621,33,31,9.04,27.17
5319961,30/7/2015 20:24,20,326.6,-22.5,3.636,3.621,33,31,9.05,27.22
8693478,3/8/2015 20:48,20,326.6,-22.5,3.637,3.621,33,31,9.07,27.27
9401194,4/8/2015 17:54,20,326.6,-22.5,3.637,3.622,33,31,9.09,27.32
6864613,5/8/2015 18:59,20,326.7,-22.5,3.636,3.622,33,31,9.099999,27.37
6383107,6/8/2015 15:14,20,326.7,-22.5,3.638,3.621,33,31,9.12,27.42
7109071,6/8/2015 20:40,20,326.6,-22.5,3.637,3.621,33,31,9.139999,27.47
5544644,7/8/2015 16:09,20.4,326.7,-22.5,3.638,3.621,33,31,9.16,27.54
8796946,7/8/2015 20:56,20.4,326.7,-22.5,3.639,3.623,33,31,9.17,27.59
7932903,10/8/2015 20:24,20.4,326.7,-22.5,3.637,3.623,33,31,9.19,27.64
5511788,12/8/2015 15:38,20.4,326.7,-22.5,3.639,3.622,33,31,9.21,27.69
2177313,12/8/2015 16:42,20.4,326.7,-22.5,3.639,3.624,33,31,9.22,27.74
4155559,13/8/2015 13:43,20.4,326.7,-22.5,3.639,3.623,33,31,9.24,27.79
7684218,13/8/2015 20:52,20.4,326.7,-22.5,3.638,3.623,33,31,9.26,27.83
4774630,14/8/2015 16:04,20.4,326.7,-22.5,3.638,3.623,33,31,9.27,27.88
8889063,14/8/2015 20:34,20.4,326.7,-22.5,3.638,3.624,33,31,9.29,27.93
1667198,17/8/2015 20:51,20.4,326.7,-22.5,3.639,3.624,33,31,9.3,27.98
3918469,18/8/2015 20:20,20.4,326.7,-22.5,3.639,3.625,33,31,9.32,28.03
5137159,19/8/2015 16:26,20.8,326.7,-22.5,3.639,3.624,33,31,9.34,28.08
9198706,19/8/2015 20:37,20.8,326.9,-22.5,3.639,3.625,33,31,9.349999,28.13
7484631,20/8/2015 14:50,20.8,326.7,-22.5,3.639,3.625,33,31,9.37,28.2
5047224,20/8/2015 20:19,20.8,326.9,-22.5,3.639,3.625,33,31,9.4,28.25
7612366,21/8/2015 17:19,20.8,326.9,-22.5,3.64,3.625,33,31,9.41,28.3
1943326,24/8/2015 20:37,20.8,326.9,-22.5,3.639,3.625,33,31,9.429999,28.35
4773595,25/8/2015 17:44,20.8,326.9,-22.5,3.64,3.626,33,31,9.45,28.4
8710352,25/8/2015 19:43,20.8,326.9,-22.5,3.64,3.626,33,31,9.46,28.45
6946930,26/8/2015 16:50,20.8,326.9,-22.5,3.64,3.626,33,31,9.48,28.5
9080203,27/8/2015 12:41,20.8,326.9,-22.5,3.64,3.626,33,31,9.5,28.55
1310541,27/8/2015 17:51,21.2,326.9,-22.5,3.64,3.626,33,31,9.51,28.6
2051880,28/8/2015 17:10,21.2,326.9,-22.5,3.64,3.626,33,31,9.53,28.65
2151405,31/8/2015 21:04,21.2,326.9,-22.5,3.64,3.626,33,31,9.55,28.7
9830354,1/9/2015 20:33,21.2,326.9,-22.5,3.64,3.628,33,31,9.559999,28.75
7366688,2/9/2015 16:28,21.2,326.9,-22.5,3.641,3.626,33,31,9.58,28.8
3690401,2/9/2015 20:48,21.2,326.9,-22.5,3.64,3.627,33,31,9.599999,28.87
2666943,4/9/2015 19:45,21.2,327.1,-22.5,3.64,3.628,33,31,9.62,28.92
8966239,8/9/2015 17:21,21.2,327.1,-22.5,3.641,3.628,33,31,9.63,28.97
1060291,8/9/2015 20:57,21.2,327.1,-22.5,3.641,3.628,33,31,9.65,29.02
6178031,9/9/2015 20:31,21.2,327.1,-22.5,3.641,3.629,33,31,9.66,29.07
6720753,10/9/2015 15:21,21.2,327.1,-22.5,3.641,3.628,33,31,9.679999,29.12
5465287,10/9/2015 20:56,21.6,327.1,-22.5,3.641,3.627,33,31,9.7,29.16
4722963,11/9/2015 16:07,21.6,327.1,-22.5,3.642,3.628,33,31,9.71,29.21
2353637,14/9/2015 20:48,21.6,327.1,-22.5,3.642,3.628,33,31,9.73,29.26
4542365,17/9/2015 17:57,21.6,327.1,-22.5,3.642,3.629,33,31,9.75,29.31
4235947,18/9/2015 19:02,21.6,327.1,-22.5,3.642,3.629,33,31,9.76,29.36
3346938,21/9/2015 13:19,21.6,327.1,-22.5,3.642,3.628,33,31,9.78,29.41
1377083,1/10/2015 12:01,21.6,327.1,-22.5,3.643,3.629,33,31,9.809999,29.48
9206532,1/10/2015 13:32,21.6,327.2,-22.5,3.642,3.629,33,31,9.82,29.53
3574851,1/10/2015 19:34,21.6,327.1,-22.5,3.643,3.63,33,31,9.83,29.58
1881770,15/1/2015 17:37,21.6,327.2,-22.5,3.642,3.629,33,31,9.86,29.63
2564911,21/1/2015 17:06,22,327.1,-22.5,3.643,3.629,33,31,9.87,29.68
7028441,21/1/2015 23:01,22,327.1,-22.5,3.643,3.629,33,31,9.889999,29.73
2162299,29/1/2015 1:24,22,327.1,-22.5,3.643,3.63,33,31,9.91,29.78
5859533,27/1/2015 23:00,22,327.2,-22.5,3.642,3.63,33,31,9.92,29.83
4317364,28/1/2015 22:57,22,327.2,-22.5,3.643,3.63,33,31,9.94,29.88
1176150,3/2/2015 17:59,22,327.2,-22.5,3.643,3.629,33,31,9.95,29.93
6226034,3/2/2015 22:59,22,327.2,-22.5,3.643,3.631,33,31,9.98,30
4366553,4/2/2015 17:00,22,327.2,-22.5,3.644,3.63,33,31,9.99,30.05
3217970,6/2/2015 16:38,22,327.2,-22.5,3.643,3.63,33,31,10.01,30.1
7786095,10/2/2015 17:44,22,327.2,-22.5,3.644,3.63,33,31,10.02,30.15
4705451,12/2/2015 23:21,22,327.2,-22.5,3.644,3.631,33,31,10.04,30.2
1699715,16/2/2015 17:24,22.4,327.2,-22.5,3.644,3.631,33,31,10.06,30.25
7648104,18/2/2015 16:54,22.4,327.2,-22.5,3.644,3.631,33,31,10.07,30.3
4635698,18/2/2015 22:44,22.4,327.2,-22.5,3.644,3.631,33,31,10.09,30.35
3923928,19/2/2015 17:08,22.4,327.4,-22.5,3.644,3.631,33,31,10.11,30.4
8791850,19/2/2015 23:12,22.4,327.4,-22.5,3.645,3.631,33,31,10.12,30.45
1824270,23/2/2015 23:00,22.4,327.4,-22.5,3.644,3.632,33,31,10.14,30.49
2321993,12/3/2015 19:43,22.4,327.2,-22.5,3.645,3.632,33,31,10.16,30.54
7906889,12/3/2015 21:56,22.4,327.4,-22.5,3.644,3.632,33,31,10.18,30.61
5923518,13/3/2015 21:49,22.4,327.4,-22.5,3.645,3.632,33,31,10.19,30.66
4264640,17/3/2015 21:59,22.4,327.4,-22.5,3.645,3.632,33,31,10.22,30.71
6087939,23/3/2015 17:21,22.4,327.4,-22.5,3.645,3.632,33,31,10.23,30.76
2097707,30/3/2015 21:34,22.8,327.4,-22.5,3.645,3.632,33,31,10.24,30.81
9090606,31/3/2015 21:59,22.8,327.4,-22.5,3.646,3.633,33,31,10.27,30.86
4833980,1/4/2015 21:59,22.8,327.4,-22.5,3.646,3.633,33,31,10.28,30.91
9998981,2/4/2015 20:22,22.8,327.4,-22.5,3.646,3.633,33,31,10.29,30.96
1968884,6/4/2015 15:55,22.8,327.4,-22.5,3.646,3.632,33,31,10.31,31.01
4775619,6/4/2015 17:03,22.8,327.4,-22.5,3.645,3.633,33,31,10.33,31.06
7165535,7/4/2015 22:00,22.8,327.4,-22.5,3.646,3.633,33,31,10.35,31.11
6108765,17/4/2015 20:00,22.8,327.5,-22.5,3.646,3.633,33,31,10.37,31.17
5431268,27/4/2015 21:51,22.8,327.4,-22.5,3.646,3.633,33,31,10.38,31.22
8807066,28/4/2015 18:09,22.8,327.4,-22.5,3.646,3.633,33,31,10.4,31.28
2366312,29/4/2015 21:53,23.2,327.4,-22.5,3.646,3.634,33,31,10.42,31.33
6533184,30/4/2015 22:10,23.2,327.5,-22.5,3.647,3.634,33,31,10.43,31.38
8146919,1/5/2015 22:02,23.2,327.5,-22.5,3.647,3.634,33,31,10.45,31.44
9240795,4/5/2015 16:04,23.2,327.5,-22.5,3.646,3.634,33,31,10.47,31.48
9131704,4/5/2015 21:57,23.2,327.5,-22.5,3.647,3.634,33,31,10.48,31.53
8258612,5/5/2015 21:58,23.2,327.5,-22.5,3.646,3.634,33,31,10.5,31.58
5663108,13/5/2015 21:55,23.2,327.5,-22.5,3.646,3.634,33,31,10.52,31.64
6649705,14/5/2015 18:41,23.2,327.5,-22.5,3.647,3.635,33,31,10.54,31.69
5226944,14/5/2015 21:52,23.2,327.5,-22.5,3.647,3.635,33,31,10.55,31.74
8829161,15/5/2015 19:36,23.2,327.5,-22.5,3.647,3.635,33,31,10.58,31.79
6295415,18/5/2015 22:07,23.2,327.5,-22.5,3.647,3.635,33,31,10.59,31.84
2486127,19/5/2015 21:34,23.6,327.5,-22.5,3.647,3.635,33,31,10.61,31.91
3297805,20/5/2015 21:54,23.6,327.5,-22.5,3.647,3.635,33,31,10.63,31.96
8025036,21/5/2015 21:46,23.6,327.5,-22.5,3.648,3.635,33,31,10.65,32.01
6067782,27/5/2015 22:01,23.6,327.5,-22.5,3.648,3.635,33,31,10.65,32.04
5570215,29/5/2015 21:52,23.6,327.7,-22.5,3.648,3.636,33,31,10.68,32.11
4150137,2/6/2015 21:46,23.6,327.5,-22.5,3.648,3.635,33,31,10.7,32.16
1851465,3/6/2015 21:55,23.6,327.7,-22.5,3.648,3.635,33,31,10.71,32.21
8612143,4/6/2015 15:53,23.6,327.5,-22.5,3.648,3.636,33,31,10.73,32.26
1256772,4/6/2015 22:05,23.6,327.7,-22.5,3.648,3.636,33,31,10.74,32.31
6326627,8/6/2015 22:00,23.6,327.7,-22.5,3.649,3.636,33,31,10.77,32.37
9547336,10/6/2015 15:42,24,327.7,-22.5,3.648,3.636,33,31,10.78,32.43
2660497,10/6/2015 21:52,24,327.7,-22.5,3.648,3.636,33,31,10.8,32.48
7264751,11/6/2015 21:55,24,327.7,-22.5,3.648,3.636,33,31,10.81,32.53
4974779,12/6/2015 15:41,24,327.7,-22.5,3.648,3.636,33,31,10.83,32.58
4575807,12/6/2015 21:45,24,327.7,-22.5,3.649,3.635,33,31,10.85,32.62
9976151,15/6/2015 15:31,24,327.7,-22.5,3.649,3.637,33,31,10.86,32.67
1258066,15/6/2015 19:11,24,327.7,-22.5,3.649,3.637,33,31,10.88,32.72
8999662,16/6/2015 21:56,24,327.7,-22.5,3.649,3.637,33,31,10.9,32.77
3839404,17/6/2015 21:57,24,327.7,-22.5,3.65,3.637,33,31,10.91,32.82
3416621,18/6/2015 21:42,24,327.7,-22.5,3.65,3.637,33,31,10.93,32.89
6905541,22/6/2015 21:57,24,327.7,-22.5,3.649,3.637,33,31,10.96,32.94
1104463,23/6/2015 18:00,24.4,327.8,-22.5,3.65,3.638,33,31,10.97,32.99
3913179,24/6/2015 21:59,24.4,327.8,-22.5,3.65,3.637,33,31,10.98,33.04
2011252,26/6/2015 17:13,24.4,327.8,-22.5,3.65,3.638,33,31,11.01,33.09
6076670,26/6/2015 21:49,24.4,327.8,-22.5,3.65,3.638,33,31,11.02,33.14
1890363,29/6/2015 21:40,24.4,327.7,-22.5,3.651,3.639,33,31,11.04,33.19
5997459,30/6/2015 21:54,24.4,327.8,-22.5,3.65,3.638,33,31,11.06,33.24
7179065,1/7/2015 21:55,24.4,327.8,-22.5,3.651,3.639,33,31,11.07,33.29
4506034,6/7/2015 22:05,24.4,327.8,-22.5,3.651,3.638,33,31,11.09,33.34
7461794,8/7/2015 21:42,24.4,327.8,-22.5,3.65,3.638,33,31,11.1,33.39
3320247,15/7/2015 21:59,24.4,327.8,-22.5,3.65,3.638,33,31,11.12,33.44
2118414,16/7/2015 22:01,24.8,327.8,-22.5,3.65,3.638,33,31,11.14,33.5
8679380,17/7/2015 21:53,24.8,327.8,-22.5,3.651,3.638,33,31,11.16,33.55
2409826,20/7/2015 21:49,24.8,327.8,-22.5,3.651,3.638,33,31,11.17,33.6
7817859,21/7/2015 21:54,24.8,328,-22.5,3.651,3.639,33,31,11.19,33.65
6935812,23/7/2015 22:05,24.8,327.8,-22.5,3.651,3.639,33,32,11.21,33.7
5155934,27/7/2015 22:02,24.8,328,-22.5,3.651,3.639,33,32,11.23,33.77
5808039,28/7/2015 22:00,24.8,328,-22.5,3.651,3.639,33,32,11.24,33.82
4193479,29/7/2015 21:59,24.8,328,-22.5,3.651,3.639,33,32,11.27,33.87
1859460,30/7/2015 21:52,24.8,328,-22.5,3.652,3.639,33,32,11.27,33.91
4861447,3/8/2015 16:16,24.8,328,-22.5,3.651,3.639,33,32,11.29,33.97
6675795,3/8/2015 19:13,24.8,328,-22.5,3.651,3.639,33,32,11.32,34.02
7296683,3/8/2015 21:54,25.2,328,-22.5,3.652,3.64,33,32,11.33,34.07
5164549,4/8/2015 21:58,25.2,328,-22.5,3.652,3.639,33,32,11.34,34.12
3898980,5/8/2015 16:00,25.2,328,-22.5,3.653,3.64,33,32,11.37,34.17
6186530,5/8/2015 21:55,25.2,328,-22.5,3.652,3.64,33,32,11.39,34.24
8842700,6/8/2015 19:20,25.2,328,-22.5,3.652,3.639,33,32,11.4,34.29
2890933,6/8/2015 22:04,25.2,328,-22.5,3.652,3.64,33,32,11.42,34.34
7556587,7/8/2015 16:15,25.2,328,-22.5,3.653,3.64,33,32,11.44,34.39
8170464,7/8/2015 20:45,25.2,328,-22.5,3.653,3.64,33,32,11.45,34.44
8958839,10/8/2015 17:56,25.2,328.2,-22.5,3.652,3.64,33,32,11.47,34.48
1792624,11/8/2015 15:38,25.2,328,-22.5,3.653,3.641,33,32,11.49,34.53
2838084,11/8/2015 21:52,25.6,328.2,-22.5,3.654,3.64,33,32,11.5,34.58
8471653,13/8/2015 18:38,25.6,328,-22.5,3.653,3.64,33,32,11.52,34.63
4105012,13/8/2015 21:45,25.6,328.2,-22.5,3.653,3.641,33,32,11.54,34.7
2834438,17/8/2015 20:01,25.6,328,-22.5,3.654,3.641,33,32,11.56,34.75
8161363,17/8/2015 21:28,25.6,328.2,-22.5,3.654,3.641,33,32,11.57,34.8
2016392,18/8/2015 17:51,25.6,328.2,-22.5,3.654,3.641,33,32,11.59,34.85
5098975,19/8/2015 21:11,25.6,328.2,-22.5,3.654,3.642,33,32,11.61,34.9
2968857,20/8/2015 22:02,25.6,328.2,-22.5,3.654,3.641,33,32,11.62,34.95
2095458,21/8/2015 21:29,25.6,328.2,-22.5,3.654,3.641,33,32,11.64,35
6992976,24/8/2015 17:50,25.6,328.2,-22.5,3.653,3.642,33,32,11.65,35.05
3059726,25/8/2015 21:44,25.6,328.2,-22.5,3.654,3.642,33,32,11.67,35.1
2896987,26/8/2015 16:01,26,328.3,-22.5,3.654,3.642,33,32,11.69,35.15
7903886,27/8/2015 15:21,26,328.2,-22.5,3.654,3.642,33,32,11.7,35.2
6808795,27/8/2015 18:17,26,328.2,-22.5,3.654,3.643,33,32,11.73,35.26
5239236,27/8/2015 22:00,26,328.3,-22.5,3.654,3.643,33,32,11.75,35.31
1547224,31/8/2015 16:24,26,328.3,-22.5,3.654,3.643,33,32,11.76,35.36
8402166,31/8/2015 22:02,26,328.3,-22.5,3.654,3.643,33,32,11.78,35.42
2022698,1/9/2015 18:56,26,328.2,-22.5,3.655,3.643,33,32,11.8,35.47
9150409,1/9/2015 21:33,26,328.3,-22.5,3.655,3.643,33,32,11.81,35.52
9820762,2/9/2015 14:46,26,328.3,-22.5,3.655,3.642,33,32,11.83,35.57
3992691,2/9/2015 17:29,26,328.3,-22.5,3.656,3.643,33,32,11.85,35.63
8608385,2/9/2015 22:07,26.4,328.2,-22.5,3.655,3.643,33,32,11.87,35.68
3443841,3/9/2015 16:22,26.4,328.3,-22.5,3.655,3.643,33,32,11.88,35.73
1918100,3/9/2015 21:57,26.4,328.3,-22.5,3.655,3.643,33,32,11.9,35.78
9091743,4/9/2015 15:02,26.4,328.3,-22.5,3.655,3.643,33,32,11.92,35.83
